origin,destination,ridership
A0: All Stations,AG01: Sentul Timur,584446
A0: All Stations,AG02: Sentul,347965
A0: All Stations,AG03: Titiwangsa,488103
A0: All Stations,AG04: PWTC,740755
A0: All Stations,AG05: Sultan Ismail,263752
A0: All Stations,AG06: Bandaraya,940725
A0: All Stations,AG07: Masjid Jamek,1503447
A0: All Stations,AG08: Plaza Rakyat,605496
A0: All Stations,AG09: Hang Tuah,469704
A0: All Stations,AG10: Pudu,732255
A0: All Stations,AG11: Chan Sow Lin,236981
A0: All Stations,AG12: Miharja,218700
A0: All Stations,AG13: Maluri,508486
A0: All Stations,AG14: Pandan Jaya,480060
A0: All Stations,AG15: Pandan Indah,366323
A0: All Stations,AG16: Cempaka,563850
A0: All Stations,AG17: Cahaya,366062
A0: All Stations,AG18: Ampang,672861
A0: All Stations,KG04: Kwasa Damansara,274486
A0: All Stations,KG05: Kwasa Sentral,480664
A0: All Stations,KG06: Kota Damansara,630720
A0: All Stations,KG07: Surian,922740
A0: All Stations,KG08: Mutiara Damansara,842060
A0: All Stations,KG09: Bandar Utama,1358135
A0: All Stations,KG10: TTDI,719784
A0: All Stations,KG12: Phileo Damansara,494441
A0: All Stations,KG13: Pusat Bandar Damansara,641012
A0: All Stations,KG14: Semantan,718090
A0: All Stations,KG15: Muzium Negara,1454977
A0: All Stations,KG16: Pasar Seni,925793
A0: All Stations,KG17: Merdeka,311924
A0: All Stations,KG18: Bukit Bintang,3787575
A0: All Stations,KG20: Tun Razak Exchange,2979293
A0: All Stations,KG21: Cochrane,1419556
A0: All Stations,KG22: Maluri,1939111
A0: All Stations,KG23: Taman Pertama,380728
A0: All Stations,KG24: Taman Midah,513610
A0: All Stations,KG25: Taman Mutiara,959437
A0: All Stations,KG26: Taman Connaught,738222
A0: All Stations,KG27: Taman Suntex,602143
A0: All Stations,KG28: Sri Raya,326555
A0: All Stations,KG29: Bandar Tun Hussien Onn,513644
A0: All Stations,KG30: Batu 11 Cheras,392636
A0: All Stations,KG31: Bukit Dukung,359307
A0: All Stations,KG33: Sungai Jernih,401588
A0: All Stations,KG34: Stadium Kajang,415180
A0: All Stations,KG35: Kajang,1007315
A0: All Stations,KJ01: Gombak,535652
A0: All Stations,KJ02: Taman Melati,698309
A0: All Stations,KJ03: Wangsa Maju,1131188
A0: All Stations,KJ04: Sri Rampai,685247
A0: All Stations,KJ05: Setiawangsa,501038
A0: All Stations,KJ06: Jelatek,465713
A0: All Stations,KJ07: Dato' Keramat,204995
A0: All Stations,KJ08: Damai,260813
A0: All Stations,KJ09: Ampang Park,1681012
A0: All Stations,KJ10: KLCC,2629203
A0: All Stations,KJ11: Kampung Baru,410867
A0: All Stations,KJ12: Dang Wangi,554695
A0: All Stations,KJ13: Masjid Jamek,808324
A0: All Stations,KJ14: Pasar Seni,1816479
A0: All Stations,KJ15: KL Sentral,2586372
A0: All Stations,KJ16: Bank Rakyat Bangsar,1100390
A0: All Stations,KJ17: Abdullah Hukum,1819212
A0: All Stations,KJ18: Kerinchi,850979
A0: All Stations,KJ19: Universiti,922636
A0: All Stations,KJ20: Taman Jaya,510278
A0: All Stations,KJ21: Asia Jaya,623271
A0: All Stations,KJ22: Taman Paramount,336290
A0: All Stations,KJ23: Taman Bahagia,341627
A0: All Stations,KJ24: Kelana Jaya,361050
A0: All Stations,KJ25: Lembah Subang,465580
A0: All Stations,KJ26: Ara Damansara,582608
A0: All Stations,KJ27: Cgc Glenmarie,552681
A0: All Stations,KJ28: Subang Jaya,732671
A0: All Stations,KJ29: SS 15,576904
A0: All Stations,KJ30: SS 18,144812
A0: All Stations,KJ31: USJ 7,285546
A0: All Stations,KJ32: Taipan,295623
A0: All Stations,KJ33: Wawasan,186197
A0: All Stations,KJ34: USJ 21,194181
A0: All Stations,KJ35: Alam Megah,218551
A0: All Stations,KJ36: Subang Alam,70708
A0: All Stations,MR01: KL Sentral,879640
A0: All Stations,MR02: Tun Sambanthan,217413
A0: All Stations,MR03: Maharajalela,217923
A0: All Stations,MR04: Hang Tuah,824787
A0: All Stations,MR05: Imbi,707251
A0: All Stations,MR06: Bukit Bintang,1449193
A0: All Stations,MR07: Raja Chulan,594225
A0: All Stations,MR08: Bukit Nanas,516373
A0: All Stations,MR09: Medan Tuanku,511710
A0: All Stations,MR10: Chow Kit,548416
A0: All Stations,MR11: Titiwangsa,245430
A0: All Stations,PYL03: Kampung Selamat,238159
A0: All Stations,PYL04: Sungai Buloh,657510
A0: All Stations,SP12: Cheras,330493
A0: All Stations,SP13: Salak Selatan,557600
A0: All Stations,SP14: Bandar Tun Razak,239020
A0: All Stations,SP15: Bandar Tasik Selatan,784766
A0: All Stations,SP16: Sungai Besi,70636
A0: All Stations,SP17: Bukit Jalil,554217
A0: All Stations,SP18: Sri Petaling,188650
A0: All Stations,SP19: Awan Besar,409916
A0: All Stations,SP20: Muhibbah,261849
A0: All Stations,SP21: Alam Sutera,219194
A0: All Stations,SP22: Kinrara,391227
A0: All Stations,SP24: IOI Puchong Jaya,454502
A0: All Stations,SP25: Pusat Bandar Puchong,382276
A0: All Stations,SP26: Taman Perindustrian Puchong,187876
A0: All Stations,SP27: Bandar Puteri,232067
A0: All Stations,SP28: Puchong Perdana,246316
A0: All Stations,SP29: Puchong Prima,413264
A0: All Stations,SP31: Putra Heights,422252
AG01: Sentul Timur,A0: All Stations,505310
AG01: Sentul Timur,AG01: Sentul Timur,15816
AG01: Sentul Timur,AG02: Sentul,5632
AG01: Sentul Timur,AG03: Titiwangsa,18556
AG01: Sentul Timur,AG04: PWTC,44159
AG01: Sentul Timur,AG05: Sultan Ismail,14141
AG01: Sentul Timur,AG06: Bandaraya,56414
AG01: Sentul Timur,AG07: Masjid Jamek,13772
AG01: Sentul Timur,AG08: Plaza Rakyat,11779
AG01: Sentul Timur,AG09: Hang Tuah,4081
AG01: Sentul Timur,AG10: Pudu,7579
AG01: Sentul Timur,AG11: Chan Sow Lin,2136
AG01: Sentul Timur,AG12: Miharja,1093
AG01: Sentul Timur,AG13: Maluri,5372
AG01: Sentul Timur,AG14: Pandan Jaya,3571
AG01: Sentul Timur,AG15: Pandan Indah,1020
AG01: Sentul Timur,AG16: Cempaka,1881
AG01: Sentul Timur,AG17: Cahaya,1853
AG01: Sentul Timur,AG18: Ampang,3459
