Entity,Code,Year,"Registered vehicles per 1,000 people"
Afghanistan,AFG,2013,20.72
Albania,ALB,2016,194.32
Antigua and Barbuda,ATG,2016,400.42
Argentina,ARG,2016,492.79
Australia,AUS,2016,753.24
Austria,AUT,2016,849.36
Azerbaijan,AZE,2016,134.83
Bangladesh,BGD,2016,17.91
Barbados,BRB,2015,419.73
Belarus,BLR,2017,441.49
Belgium,BEL,2016,646.86
Belize,BLZ,2007,189.43
Benin,BEN,2016,40.16
Bhutan,BTN,2017,115.31
Bolivia,BOL,2016,153.04
Bosnia and Herzegovina,BIH,2016,281.67
Botswana,BWA,2016,292.32
Brazil,BRA,2016,461.9
Bulgaria,BGR,2016,565.67
Burkina Faso,BFA,2015,112.17
Burundi,BDI,2017,9.67
Cambodia,KHM,2016,236.66
Cameroon,CMR,2016,32.32
Canada,CAN,2015,665.25
Cape Verde,CPV,2016,126.73
Central African Republic,CAF,2014,8.11
Chad,TCD,2016,74.36
Chile,CHL,2016,271.58
China,CHN,2016,209.89
Colombia,COL,2017,280.03
Comoros,COM,2016,47.05
Cook Islands,COK,2014,709.33
Costa Rica,CRI,2015,413.32
Cote d'Ivoire,CIV,2016,34.84
Croatia,HRV,2016,482.55
Cuba,CUB,2016,56.22
Cyprus,CYP,2015,533.66
Czechia,CZE,2015,696.08
Denmark,DNK,2016,546.71
Dominica,DMA,2016,514.11
Dominican Republic,DOM,2016,365.26
East Timor,TLS,2016,119.35
Ecuador,ECU,2015,118.37
Egypt,EGY,2016,82.77
El Salvador,SLV,2016,162.57
Eritrea,ERI,2016,23.17
Estonia,EST,2016,657.4
Eswatini,SWZ,2016,86.85
Ethiopia,ETH,2016,6.64
Fiji,FJI,2016,120.5
Finland,FIN,2016,949.48
France,FRA,2015,652.58
Gambia,GMB,2016,37.2
Georgia,GEO,2016,297.06
Germany,DEU,2016,684.17
Ghana,GHA,2016,70.41
Greece,GRC,2016,880.64
Grenada,GRD,2016,236.79
Guatemala,GTM,2016,199.78
Guinea,GIN,2016,21.51
Guinea-Bissau,GNB,2016,33.98
Guyana,GUY,2013,20.92
Honduras,HND,2016,180.03
Hungary,HUN,2016,410.05
Iceland,ISL,2016,862.71
India,IND,2015,158.15
Indonesia,IDN,2016,485.21
Iran,IRN,2017,357.26
Iraq,IRQ,2015,153.77
Ireland,IRL,2015,547.36
Israel,ISR,2016,394.56
Italy,ITA,2016,869.43
Jamaica,JAM,2016,192.64
Japan,JPN,2016,641.73
Jordan,JOR,2016,150.15
Kazakhstan,KAZ,2016,238.69
Kenya,KEN,2016,61.9
Kiribati,KIR,2017,30.81
Kuwait,KWT,2016,499.99
Kyrgyzstan,KGZ,2015,165.45
Laos,LAO,2016,267.78
Latvia,LVA,2017,413.69
Lebanon,LBN,2016,295.17
Liberia,LBR,2012,248.13
Libya,LBY,2013,563.63
Lithuania,LTU,2015,478.9
Luxembourg,LUX,2017,782.01
Madagascar,MDG,2015,9.32
Malaysia,MYS,2016,868.62
Maldives,MDV,2016,209.74
Mali,MLI,2015,18.52
Malta,MLT,2016,788.42
Mauritius,MUS,2016,393
Mexico,MEX,2015,332.08
Micronesia (country),FSM,2016,52
Moldova,MDA,2016,276.19
Mongolia,MNG,2016,276.75
Montenegro,MNE,2016,338.36
Morocco,MAR,2016,108.26
Mozambique,MOZ,2016,25.56
Myanmar,MMR,2017,122.96
Namibia,NAM,2017,148.11
Nepal,NPL,2015,84.07
Netherlands,NLD,2015,628.83
New Zealand,NZL,2016,775.5
Niger,NER,2016,21.1
Nigeria,NGA,2016,60.03
North Macedonia,MKD,2015,223.68
Norway,NOR,2016,758.14
Oman,OMN,2016,312.22
Pakistan,PAK,2016,83.37
Palestine,PSE,2015,59.35
Panama,PAN,2016,319.82
Papua New Guinea,PNG,2016,11.27
Paraguay,PRY,2016,299.55
Peru,PER,2016,181.58
Philippines,PHL,2016,86.68
Poland,POL,2015,716.27
Portugal,PRT,2015,635.48
Qatar,QAT,2016,511.85
Romania,ROU,2016,354.69
Russia,RUS,2016,370.52
Rwanda,RWA,2016,15.11
Saint Lucia,LCA,2016,203.14
Samoa,WSM,2016,124
San Marino,SMR,2016,1607.46
Sao Tome and Principe,STP,2017,164.5
Saudi Arabia,SAU,2016,224.49
Senegal,SEN,2015,32.07
Serbia,SRB,2016,320.29
Seychelles,SYC,2016,210.1
Singapore,SGP,2016,167.36
Slovakia,SVK,2016,480.24
Slovenia,SVN,2016,712.36
Somalia,SOM,2014,4.46
South Korea,KOR,2016,500.62
South Sudan,SSD,2016,6.43
Spain,ESP,2015,706.59
Sri Lanka,LKA,2016,310.14
Sudan,SDN,2016,30.36
Suriname,SUR,2015,392.67
Sweden,SWE,2016,615.01
Switzerland,CHE,2016,714.1
Syria,SYR,2016,124.86
Tajikistan,TJK,2016,49.63
Tanzania,TZA,2016,40.2
Thailand,THA,2016,526.93
Togo,TGO,2016,8.9
Tonga,TON,2012,75.87
Trinidad and Tobago,TTO,2015,582.01
Tunisia,TUN,2016,174.83
Turkey,TUR,2016,258.3
Uganda,UGA,2016,41.11
Ukraine,UKR,2014,313.96
United Arab Emirates,ARE,2016,375.5
United Kingdom,GBR,2016,582.58
United States,USA,2015,862.59
Uruguay,URY,2016,693.05
Venezuela,VEN,2016,260.02
Vietnam,VNM,2016,539.01
Zimbabwe,ZWE,2017,80.92
